file_name	seed	formula_x	formula_y
2020-12-12-20-42_seed_2599.png	2599	runif(1, -1, 1) * x_i^2 - cos(y_i^3)	runif(1, -1, 1) * y_i^2 - tan(x_i^3)
2020-12-12-20-43_seed_9714.png	9714	runif(1, -1, 1) * x_i^2 - sin(y_i^3)	runif(1, -1, 1) * y_i^2 - cos(x_i^3)
2020-12-12-20-44_seed_308.png	308	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2020-12-12-20-45_seed_3046.png	3046	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-45_seed_1428.png	1428	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-46_seed_3483.png	3483	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-46_seed_9742.png	9742	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-47_seed_2542.png	2542	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-47_seed_9352.png	9352	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-48_seed_7982.png	7982	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-48_seed_2233.png	2233	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-48_seed_4041.png	4041	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2020-12-12-20-49_seed_463.png	463	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
